v1.1.54383-stable	2018-05-22
v1.1.54381-stable	2018-05-14
v1.1.54380-stable	2018-04-21
v1.1.54378-stable	2018-04-16
v1.1.54370-stable	2018-03-16
v1.1.54362-stable	2018-03-11
v1.1.54358-stable	2018-03-08
v1.1.54343-stable	2018-02-08
v1.1.54342-stable	2018-01-22
v1.1.54337-stable	2018-01-18
v1.1.54336-stable	2018-01-17
v1.1.54335-stable	2018-01-17
v1.1.54327-stable	2017-12-21
v1.1.54318-stable	2017-12-01
v1.1.54310-stable	2017-11-01
v1.1.54304-stable	2017-10-24
v1.1.54292-stable	2017-09-27
v1.1.54289-stable	2017-09-14
v1.1.54284-stable	2017-08-30
v1.1.54282-stable	2017-08-23
v1.1.54276-stable	2017-08-16
v1.1.54245-stable	2017-07-05
v1.1.54242-stable	2017-06-27
v1.1.54236-stable	2017-05-25
v1.1.54231-stable	2017-05-15
v1.1.54198-stable	2017-03-29
v1.1.54190-stable	2017-03-22
v1.1.54188-stable	2017-03-17
v1.1.54181-stable	2017-03-11
v1.1.54165-stable	2017-02-15
v1.1.54159-stable	2017-02-07
v1.1.54144-stable	2017-02-01
v1.1.54135-stable	2017-01-20
v1.1.54134-stable	2017-01-16
v1.1.54133-stable	2017-01-13
v1.1.54127-stable	2016-12-23
v1.1.54112-stable	2016-12-13
v1.1.54083-stable	2016-12-01
v1.1.54080-stable	2016-11-25
v1.1.54074-stable	2016-11-24
v1.1.54046-stable	2016-11-08
v1.1.54030-stable	2016-10-25
v1.1.54023-stable	2016-10-10
v1.1.54022-stable	2016-09-28
v1.1.54020-stable	2016-09-21
v1.1.54019-stable	2016-09-14
